Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,7.517600000000001,16.313200000000002,12.303757179161169,600.0955173969269,8891491.0,"[17 11  1  8  4 26 19 10  5 22 24 20 21  9 23 18  3  0  7  2 13 16 15 25
 14 12  6]",16.0,25.0,24.0
FLS,5.0098,11.7597,5.125986478499735,15.764859199523926,150930.0,"[ 7  2  0 18 14 12  6  9 20 17 15  3 25  4  1 26  8 16 23 10 22 21  5 24
 19 13 11]",13.0,1.0,2.0
BLS,4.3819,12.7368,4.423083087463107,71.62479662895203,713934.0,"[13 11  1  4 25  2  7  0 18  3 15 14 12  6  9 17 20 21  5 22 24 19 10 23
 16  8 26]",4.0,2.0,6.0
TS,4.8289,13.381499999999996,4.883017338996294,600.0095722675323,5147454.0,"[22 20 17 15  3  2 25 16 23 26  8  4  1 13 11  7  0 18 14 12  6  9 21  5
 24 19 10]",10.0,12.0,22.0
SimAn,4.3789,11.637199999999998,4.37935159031859,600.0076920986176,3253958.0,"[14 15  3 18  0  7  2 25 16  8  4  1 11 13 26 23 10 19 24 22  5 21 20 17
  9  6 12]",3.0,11.0,18.0
ACO,4.3787,9.2589,5.456915483179909,600.005167722702,203227.0,"[10, 23, 16, 8, 4, 1, 26, 11, 13, 19, 24, 22, 5, 21, 20, 17, 9, 6, 12, 14, 15, 3, 18, 0, 7, 2, 25]",2.0,8.0,3.0
BCO,4.6453,15.8543,9.353497495842054,600.0304532051086,4071990.0,"[ 9 21 20 12 14 17 23 10 19 22  5 24 13  1 16  2  7  3  0 18  6 15 25 11
 26  8  4]",9.0,20.0,19.0
PSO,7.8149000000000015,15.399500000000002,11.79516865090029,600.0096995830536,1231133.0,"[11, 13, 26, 23, 7, 25, 20, 22, 12, 14, 17, 6, 9, 24, 19, 21, 5, 4, 16, 1, 2, 18, 15, 10, 8, 3, 0]",21.0,13.0,12.0
GS,8.052300000000002,15.835,12.306211200244023,600.0129470825195,1215670.0,"[ 6 12 15  8  4  5 19 13 10 16  1  9 21 23 17 14 18  3 25  2  7  0 11 26
 24 22 20]",23.0,15.0,11.0
BHA,7.8485,16.398500000000002,12.353507985130546,600.0391283035278,4118067.0,"[ 6 16 23  9 20 21 12 15  3  8  0 18 14 24 17 13  4  5 22 10  1 11  2 26
  7 25 19]",22.0,22.0,20.0
SS,4.378699999999999,10.845999999999998,4.697929256889022,600.0039598941803,1106648.0,"[23 10 19 24 22  5 21 20 17  9  6 12 14 15  3 18  0  2 25  7 11 13 26  1
  4  8 16]",1.0,6.0,10.0
CA,5.512,10.8892,5.512429183255152,600.0113625526428,1340115.0,"[25  7  0 11  1  4  8 26 13 24 19 10  2  3 15 18 14  9 21 20 17 12  6  5
 22 23 16]",15.0,14.0,13.0
