Algorithm,Best Cost,Worst Cost,Average Cost,Runtime,Evaluations,Best permutation,Cost Rank,Runtime Rank,Evaluations Rank
RS,18.142799999999994,31.918500000000005,25.590407743582027,10.000006675720215,426818,"[ 4 22 11 20 19 12 44 16 39 41 28 15 34  3 37 43 24 40 35 46  0 42 26  9
 48 25 45 36 23 30 31 29 27 14  7 38 47 33 13  8  1  5 32 18  6 17 10  2
 21]",15.0,1.0,25.0
FLS,6.264399999999998,25.6188,8.195530505383775,10.00037693977356,191871,"[46 45 23 28  0 36  8 26 13  5  9 42 17  1 20 11 35 32 18 29 37 27 44 43
 16 40 24 19  6 22  7 31 14 33  3 41 12 10 34 38  2 30 39 47  4 25 21 48
 15]",3.0,11.0,21.0
BLS,6.3029,26.669899999999995,9.008092078460798,10.000234365463257,174865,"[34 48 10 12 15 45 23 28 46  0 36 42 17  1 20 11 35  9  5 26  8 13 32 18
 29 37 27 44 43 16 40  7 31 14 33 41  3 22  6 19 24 30  2 38 47 39  4 25
 21]",4.0,6.0,19.0
TS,6.238399999999998,26.760999999999996,8.374674812411747,10.000471591949463,203096,"[22  6 19 24 30  2 38 47 39  4 25 21 34 48 45 23 28  0 36 46 15 10 12 41
 33 14 31 27 20  1 17 42 26  8 13  5  9 11 35 32 18 29 37 44 43 16 40  7
  3]",2.0,13.0,22.0
SimAn,18.193599999999996,30.986800000000002,25.570405365952112,10.000275611877441,162972,"[19 48  6 38 13 14 16 17 43 15 39 20  1 32 37 10 26 23 47  4  7 30 27 11
 24 42 18  8 36 33 41  9 46 45 44  2 12 31  3 28 34 25 35  5 40 21 22 29
  0]",17.0,8.0,17.0
ACO,6.410500000000001,17.2723,8.665419504699916,10.00175142288208,5532,"[48, 10, 12, 41, 3, 22, 6, 19, 24, 40, 16, 43, 7, 14, 31, 27, 44, 37, 29, 18, 32, 35, 11, 9, 5, 13, 26, 8, 36, 0, 46, 15, 45, 23, 28, 42, 17, 1, 20, 33, 38, 2, 30, 39, 4, 25, 21, 34, 47]",6.0,21.0,1.0
BCO,10.795200000000001,30.356800000000007,20.80951568974674,10.000155210494995,167670,"[48 39 17  9  0 11 20 36  5 33  3 42 34 40 15 47 26 32 16  8 25 45 41 29
 37 31 12  1 23  7 19 30 24  6 18  4 38  2 27 13 28 46 21 22 14 10 44 35
 43]",14.0,3.0,18.0
PSO,18.959899999999998,30.808399999999995,25.82801844028128,10.000726461410522,43931,"[41, 22, 1, 18, 11, 48, 25, 19, 44, 32, 15, 28, 46, 3, 23, 8, 26, 36, 27, 13, 20, 7, 39, 12, 10, 5, 14, 47, 21, 34, 40, 16, 43, 17, 37, 31, 45, 42, 0, 9, 33, 30, 29, 35, 6, 24, 38, 4, 2]",19.0,16.0,10.0
GS,19.425499999999992,31.189100000000003,25.56035035004542,10.000311613082886,63706,"[ 9  8 26 13 22 27 33 17 15 38 12 36 28 34 32 29 42 43  5 40 18 37  3 30
  7 45  0 20  6 16 11 35 10 41 14 31  4 46 23 48 24 39  2 47 25 21 19  1
 44]",22.0,9.0,13.0
BHA,18.926299999999994,31.0521,25.680360058938355,10.001160621643066,158471,"[ 6 43 15  4 29  3 46 17 37 21 14 36 42 13 26 31 33 12 34 41 48 23 28  9
 18 44 27  7 24  0 19 39  5 11 47 32 16 40 25 22 38  2 10 20 45 35  1  8
 30]",18.0,17.0,16.0
SS,6.676,20.146099999999997,7.370512136627913,10.000489950180054,17888,"[11 35 32 18 29 37 27 44 43 16 40  7 14 33  3 41 12 10 48 45 23 28  0 36
  8 26 13  5  9 31 22  6 19 24 30  2 38 47 39  4 25 21 34 15 46 42 17  1
 20]",7.0,15.0,6.0
CA,8.971,24.246799999999997,9.151455427888024,10.000325918197632,46473,"[43 16 40 24 30 39  4 48 45 23 28 15 41  3 22  7 31 27 44 37 29 18 32 35
 11  9 17  1 10 12 33 20  5 13  8 26 42 14  6 19  2 38 47 25 21 34 46  0
 36]",13.0,10.0,11.0
VNS,6.358699999999998,26.5156,6.469573037285075,10.001626014709473,16011,"[27 20  1 33 41  3 22  6 19 24 30 39  2 38 47  4 25 21 34 48 10 12 15 45
 23 28  0 46 17 42 36  8 26 13  5  9 11 35 32 18 29 37 44 43 16 40  7 14
 31]",5.0,20.0,5.0
HS,18.188300000000005,25.912499999999998,18.756190462839797,10.000244379043579,179980,"[1, 18, 42, 35, 5, 40, 17, 19, 38, 44, 33, 12, 7, 31, 39, 26, 22, 27, 14, 20, 49, 13, 2, 4, 32, 28, 36, 6, 43, 16, 48, 3, 47, 30, 11, 23, 21, 34, 46, 45, 9, 37, 41, 25, 8, 15, 10, 24, 29]",16.0,7.0,20.0
ICA,8.924399999999997,22.794700000000002,8.984656132771832,10.000458240509033,31030,"[28, 15, 6, 40, 43, 44, 27, 31, 14, 20, 17, 42, 36, 0, 46, 41, 7, 37, 29, 18, 16, 19, 24, 30, 2, 38, 21, 34, 12, 1, 26, 8, 13, 5, 9, 32, 35, 11, 33, 3, 22, 39, 47, 4, 25, 48, 10, 45, 23]",12.0,12.0,9.0
CAO,8.828299999999999,26.730399999999992,12.893288832078696,10.00012469291687,213576,"[39  4 41 20  1 32 17 36 26 42 13  8 28 15  0 46 35 18 27 11 37 29 44 43
  2 25 47 12 23 45 24 19 34 38 40 16 21 48 10 14  5  9  3 33  7 31 22  6
 30]",11.0,2.0,23.0
AIS,8.645399999999997,21.984500000000004,11.97602506931415,10.001489639282227,60955,"[35, 13, 5, 32, 26, 15, 48, 10, 23, 45, 1, 24, 3, 41, 44, 31, 2, 12, 14, 7, 22, 40, 19, 6, 30, 38, 47, 39, 4, 34, 25, 21, 33, 17, 46, 28, 36, 8, 43, 29, 37, 27, 11, 9, 42, 0, 20, 16, 18]",10.0,18.0,12.0
RFD,6.7661999999999995,24.239799999999995,6.863412371547871,10.00016713142395,101111,"[39 24 19 30  2 38 47 21 34 12 41 33 14 31  7  3 22  6 40 16 43 44 37 18
 29 27 20 11 35 32  5 13  8 26  9  1 17 42 36  0 46 28 23 45 15 10 48 25
  4]",8.0,4.0,14.0
FA,20.0042,30.91770000000001,25.60076724000006,10.003575086593628,18341,"[ 8 34 23 46 37 14  1 33 24 19  6  0 17 27 47 15 21 22 20 13 11  9 32  3
 30  2  4 45 28 12 25 36 42 26 41 10 40 35 18 29 38 31 16 48 39 43 44  5
  7]",23.0,23.0,7.0
GA,6.170500000000001,27.9966,8.401929920699994,10.000192642211914,102531,"[40 16 43 44 37 29 18 32 35 11  9  5 13 26  8 36  0 28 23 45 46 42 17  1
 20 27 31 14 33  7 22  3 41 12 15 10 48 34 21 25  4 47 38  2 39 30 24 19
  6]",1.0,5.0,15.0
GLS,23.851299999999995,25.3639,24.451612244898204,10.024110794067383,8722,"[48 21  6 19 43  8 10  4 27 14 32 44 36 39  2  1 34 25 17 24  9 13  5 18
 30 38 46 42 37 15  7  3 26 35 45 33 47 23 11 40 12 41 28 31 29  0 16 20
 22]",25.0,25.0,4.0
CSA,7.8705,26.269199999999994,10.861649442934612,10.004254341125488,29555,"[35, 11, 20, 41, 34, 21, 25, 4, 39, 30, 2, 38, 47, 48, 10, 12, 33, 14, 31, 27, 37, 44, 43, 16, 40, 24, 19, 6, 22, 1, 17, 42, 0, 28, 23, 45, 9, 5, 13, 26, 8, 36, 46, 15, 3, 7, 29, 18, 32]",9.0,24.0,8.0
IWO,19.058599999999995,21.5478,19.158270427554218,10.002217531204224,5894,"[39, 41, 46, 19, 20, 37, 29, 18, 0, 8, 26, 45, 43, 22, 7, 33, 11, 40, 24, 21, 23, 28, 15, 13, 5, 32, 3, 6, 48, 25, 34, 47, 27, 35, 12, 1, 30, 16, 4, 42, 36, 17, 10, 2, 9, 44, 31, 14, 38]",20.0,22.0,2.0
BA,19.100099999999994,30.6162,23.70879974659563,10.000483274459839,343324,"[5, 1, 8, 13, 14, 7, 19, 39, 9, 31, 29, 26, 4, 45, 3, 41, 15, 18, 46, 42, 37, 17, 6, 30, 38, 25, 36, 0, 47, 34, 21, 24, 12, 44, 20, 23, 48, 28, 35, 2, 16, 33, 43, 32, 40, 27, 22, 10, 11]",21.0,14.0,24.0
DE,21.58599999999999,28.5821,22.92523288903065,10.001498937606812,6227,"[25, 36, 1, 9, 39, 30, 22, 2, 35, 20, 16, 27, 43, 41, 4, 14, 5, 18, 7, 21, 12, 47, 40, 48, 24, 15, 45, 28, 32, 13, 23, 8, 34, 38, 37, 11, 29, 31, 42, 10, 33, 19, 3, 17, 6, 44, 26, 46, 0]",24.0,19.0,3.0
